Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity
17-01-23,Montreal North,Consumer Electronics,Nova Distribution,Ville-Marie Hub,Fulfilled,819,4332,7091.99,TRUE,5,FALSE,53341.17,3962.5,10761
18-01-23,Montreal East,Smart Devices,Montelix Supply Co.,Laval Distribution Center,Fulfilled,304,3340,6173.13,TRUE,21,FALSE,50520.52,3036.8,7565
19-01-23,Montreal East,Smart Devices,Montelix Supply Co.,Laval Distribution Center,Fulfilled,631,2463,4015.1,TRUE,23,FALSE,94420.26,3513,11087
20-01-23,Montreal North,Computer Peripherals,Montelix Supply Co.,Laval Distribution Center,Fulfilled,480,5238,7252.58,TRUE,12,FALSE,31091.27,3499.4,7342
21-01-23,Montreal South,Home Appliances,PixelSource Ltd.,Ville-Marie Hub,Pending,666,2759,15881.68,FALSE,19,FALSE,33365.93,4514.2,10032
21-01-23,Montreal West,Smart Devices,ElectraTech Inc.,Laval Distribution Center,Pending,345,4972,3617.94,TRUE,13,FALSE,87067.67,5656.3,7450
22-01-23,Montreal West,Home Appliances,Montelix Supply Co.,Verdun Storage Facility,Fulfilled,70,3668,9935.72,TRUE,5,FALSE,9009.41,3419.4,6115
23-01-23,Montreal West,Home Appliances,PixelSource Ltd.,Laval Distribution Center,Fulfilled,836,2267,4799.62,TRUE,15,FALSE,38001.42,1480.9,5178
24-01-23,Montreal West,Computer Peripherals,Montelix Supply Co.,Verdun Storage Facility,Fulfilled,512,355,9473.56,TRUE,20,FALSE,55303.82,1917.6,9760
25-01-23,Montreal North,Home Appliances,ElectraTech Inc.,Laval Distribution Center,Pending,293,3587,1828.41,TRUE,3,FALSE,41991.39,4018.1,10411
26-01-23,Montreal North,Smart Devices,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,83,3197,11360.31,TRUE,18,FALSE,12985.72,3530.7,9361
26-01-23,Montreal West,Consumer Electronics,ElectraTech Inc.,Laval Distribution Center,Fulfilled,212,4388,9416.53,TRUE,21,FALSE,22412.59,3472,5590
27-01-23,Montreal West,Home Appliances,ElectraTech Inc.,Laval Distribution Center,Pending,722,1619,3539.37,TRUE,25,FALSE,109947.94,3954.4,8298
28-01-23,Montreal South,Computer Peripherals,PixelSource Ltd.,Laval Distribution Center,Canceled,404,4492,11624.18,TRUE,29,FALSE,75733.39,3067.1,5774
29-01-23,Montreal East,Computer Peripherals,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,787,745,8076.13,TRUE,16,FALSE,182861.19,2606.4,7955
30-01-23,Montreal East,Smart Devices,Nova Distribution,Laval Distribution Center,Pending,137,3819,4070.8,TRUE,12,FALSE,9071.6,3541.5,9763
31-01-23,Montreal South,Consumer Electronics,Montelix Supply Co.,Verdun Storage Facility,Fulfilled,148,2022,10181.46,FALSE,5,FALSE,20959.93,1546.7,6223
31-01-23,Montreal East,Computer Peripherals,ElectraTech Inc.,Verdun Storage Facility,Canceled,511,706,7528.96,TRUE,7,FALSE,40657.65,2238.8,10062
01-02-23,Montreal South,Home Appliances,ElectraTech Inc.,Laval Distribution Center,Fulfilled,668,3860,1731.86,TRUE,10,FALSE,85794.98,3675.4,6787
02-02-23,Montreal East,Computer Peripherals,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,728,4520,17277.3,TRUE,7,FALSE,87894.67,3642.9,11290
03-02-23,Montreal North,Home Appliances,Nova Distribution,Ville-Marie Hub,Fulfilled,233,2515,17811.16,TRUE,24,FALSE,46647.08,3367.3,6060
04-02-23,Montreal West,Consumer Electronics,Montelix Supply Co.,Ville-Marie Hub,Fulfilled,340,3615,10017.52,TRUE,11,FALSE,65836.91,4441.1,6602
05-02-23,Montreal North,Smart Devices,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,809,4375,12233.8,TRUE,18,FALSE,57686.06,3500.6,6204
05-02-23,Montreal East,Smart Devices,Nova Distribution,Ville-Marie Hub,Fulfilled,120,1376,6831.71,TRUE,19,FALSE,7867.13,2632.9,7500
06-02-23,Montreal South,Home Appliances,Nova Distribution,Ville-Marie Hub,Fulfilled,847,3175,12606.68,TRUE,21,TRUE,123964.22,3687.4,7135
07-02-23,Montreal East,Smart Devices,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,344,2873,6026.57,TRUE,17,FALSE,26014.68,1593.9,9914
08-02-23,Montreal East,Home Appliances,Montelix Supply Co.,Verdun Storage Facility,Fulfilled,1006,561,1861.36,TRUE,29,FALSE,129763.94,1947.7,6303
09-02-23,Montreal East,Home Appliances,Nova Distribution,Laval Distribution Center,Pending,184,3060,4184.48,FALSE,24,FALSE,31654.44,3882.5,9654
10-02-23,Montreal West,Home Appliances,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,187,5238,17206.2,TRUE,22,FALSE,23147.73,4538.1,9637
10-02-23,Montreal South,Consumer Electronics,ElectraTech Inc.,Ville-Marie Hub,Pending,477,5049,13747.13,TRUE,28,TRUE,38805.75,4249,6878
11-02-23,Montreal East,Consumer Electronics,ElectraTech Inc.,Ville-Marie Hub,Fulfilled,681,4343,13432.44,TRUE,21,FALSE,87661.97,2591.4,6343
12-02-23,Montreal West,Computer Peripherals,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,366,877,12880.27,TRUE,17,TRUE,44810.03,620.7,7087
13-02-23,Montreal West,Consumer Electronics,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,397,252,10411.33,FALSE,29,FALSE,53951.03,1384,6118
14-02-23,Montreal East,Smart Devices,Nova Distribution,Ville-Marie Hub,Fulfilled,659,2161,6124.33,TRUE,6,FALSE,27075.12,4007.8,6066
15-02-23,Montreal East,Home Appliances,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,499,4292,4250.21,TRUE,27,FALSE,110895.07,4049.5,8644
16-02-23,Montreal South,Home Appliances,ElectraTech Inc.,Laval Distribution Center,Fulfilled,496,2291,7938.96,TRUE,27,FALSE,57616.97,1841.6,10952
16-02-23,Montreal North,Smart Devices,Nova Distribution,Verdun Storage Facility,Fulfilled,991,1656,9267.52,TRUE,29,FALSE,173225.2,1292.3,7529
17-02-23,Montreal North,Computer Peripherals,Nova Distribution,Verdun Storage Facility,Canceled,574,485,12774.79,TRUE,22,FALSE,40444.28,1365.2,5733
18-02-23,Montreal East,Computer Peripherals,Nova Distribution,Laval Distribution Center,Pending,1111,2232,8444.34,TRUE,10,FALSE,168583.04,2738,7450
19-02-23,Montreal East,Home Appliances,ElectraTech Inc.,Verdun Storage Facility,Pending,1052,2421,11191.53,TRUE,16,FALSE,142568.92,3244.7,5323
20-02-23,Montreal South,Home Appliances,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,382,4228,1541.26,TRUE,22,FALSE,89775.34,3859.5,8813
21-02-23,Montreal West,Home Appliances,Montelix Supply Co.,Laval Distribution Center,Fulfilled,306,1576,11581.16,TRUE,15,FALSE,63236.4,2444,10320
21-02-23,Montreal North,Computer Peripherals,ElectraTech Inc.,Ville-Marie Hub,Fulfilled,758,2785,1618.01,TRUE,19,FALSE,151574.07,3876.9,10594
22-02-23,Montreal North,Smart Devices,Montelix Supply Co.,Ville-Marie Hub,Fulfilled,124,4976,3058.69,TRUE,12,FALSE,15153.75,2560.3,11698
23-02-23,Montreal North,Consumer Electronics,PixelSource Ltd.,Laval Distribution Center,Fulfilled,539,1211,12491.35,TRUE,3,FALSE,90865.82,842.9,6625
24-02-23,Montreal South,Computer Peripherals,Nova Distribution,Laval Distribution Center,Fulfilled,910,213,13611.66,TRUE,9,FALSE,101608.47,2882.3,9333
25-02-23,Montreal North,Consumer Electronics,ElectraTech Inc.,Laval Distribution Center,Pending,569,4300,13464.17,TRUE,1,FALSE,26745.88,4096.9,8648
26-02-23,Montreal East,Smart Devices,Montelix Supply Co.,Laval Distribution Center,Pending,246,3699,5204.91,FALSE,7,TRUE,19361.41,3459.2,9750
26-02-23,Montreal West,Home Appliances,Nova Distribution,Ville-Marie Hub,Canceled,202,2511,7322.34,TRUE,1,FALSE,28874.45,1682.1,10333
27-02-23,Montreal West,Smart Devices,Nova Distribution,Laval Distribution Center,Fulfilled,166,528,8941.16,TRUE,21,FALSE,18642.3,2322.3,10641
28-02-23,Montreal North,Computer Peripherals,ElectraTech Inc.,Laval Distribution Center,Pending,806,4085,4354.75,TRUE,24,FALSE,121116.03,3294.6,4985
01-03-23,Montreal East,Smart Devices,Montelix Supply Co.,Ville-Marie Hub,Pending,185,2827,14039.35,TRUE,4,FALSE,8089.22,2956.3,10831
02-03-23,Montreal East,Smart Devices,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,88,1083,10995.27,TRUE,2,FALSE,10417.11,1906,8287
03-03-23,Montreal East,Computer Peripherals,Nova Distribution,Laval Distribution Center,Fulfilled,197,2346,7062.75,TRUE,20,FALSE,24649.53,2637.3,9191
03-03-23,Montreal West,Consumer Electronics,ElectraTech Inc.,Laval Distribution Center,Fulfilled,142,2541,16464.96,TRUE,1,FALSE,21964.94,3158.1,9319
04-03-23,Montreal East,Computer Peripherals,Montelix Supply Co.,Laval Distribution Center,Fulfilled,462,4050,13991.77,TRUE,27,FALSE,65991.58,4680.9,9603
05-03-23,Montreal North,Computer Peripherals,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,379,4317,1016.17,TRUE,29,FALSE,58099.69,2516.3,6646
06-03-23,Montreal East,Home Appliances,Nova Distribution,Ville-Marie Hub,Canceled,497,1219,17081.73,TRUE,21,FALSE,18810.94,1783.5,5718
07-03-23,Montreal North,Home Appliances,ElectraTech Inc.,Ville-Marie Hub,Fulfilled,380,2530,7161.4,TRUE,8,FALSE,28325.95,3500.3,5660
08-03-23,Montreal North,Computer Peripherals,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,612,3447,6770.38,FALSE,17,FALSE,91654.91,3063.7,7612
08-03-23,Montreal East,Computer Peripherals,PixelSource Ltd.,Laval Distribution Center,Fulfilled,948,2934,10261.99,TRUE,8,FALSE,36228.43,3751.9,7705
09-03-23,Montreal North,Computer Peripherals,ElectraTech Inc.,Ville-Marie Hub,Fulfilled,969,4577,12817.31,FALSE,29,FALSE,175854.44,4716.6,5380
10-03-23,Montreal West,Computer Peripherals,PixelSource Ltd.,Laval Distribution Center,Fulfilled,668,2357,3623.99,TRUE,20,FALSE,79419.39,2631.7,6731
11-03-23,Montreal South,Home Appliances,PixelSource Ltd.,Ville-Marie Hub,Canceled,211,1616,6015.09,TRUE,4,FALSE,27922.03,1926.2,6229
12-03-23,Montreal East,Home Appliances,Montelix Supply Co.,Laval Distribution Center,Fulfilled,195,1912,4526.78,TRUE,12,FALSE,50794.18,2495.4,9459
13-03-23,Montreal East,Home Appliances,Nova Distribution,Ville-Marie Hub,Fulfilled,566,2363,5370.54,TRUE,26,FALSE,77601.47,2484.2,5846
13-03-23,Montreal West,Consumer Electronics,ElectraTech Inc.,Laval Distribution Center,Canceled,83,1311,11068.32,TRUE,14,FALSE,9854.4,1624.4,10275
14-03-23,Montreal West,Computer Peripherals,PixelSource Ltd.,Laval Distribution Center,Pending,392,2116,6000.93,TRUE,9,FALSE,25215.18,2037.6,5357
15-03-23,Montreal North,Consumer Electronics,Montelix Supply Co.,Laval Distribution Center,Fulfilled,150,1633,7934.83,TRUE,5,FALSE,7172.1,2196.6,8252
16-03-23,Montreal East,Smart Devices,Nova Distribution,Laval Distribution Center,Fulfilled,196,3460,7718.33,TRUE,8,FALSE,32153.98,2177.7,10967
17-03-23,Montreal East,Computer Peripherals,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,841,1876,14379.61,TRUE,7,TRUE,104460.47,2531.3,10033
18-03-23,Montreal South,Consumer Electronics,Nova Distribution,Verdun Storage Facility,Fulfilled,757,2655,17419.33,TRUE,5,FALSE,183074.8,2026.8,6361
18-03-23,Montreal South,Home Appliances,Montelix Supply Co.,Laval Distribution Center,Fulfilled,443,921,9550.96,TRUE,12,FALSE,55947.4,1074.7,9317
19-03-23,Montreal West,Computer Peripherals,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,1088,729,10059.37,FALSE,27,FALSE,26711.89,1404.7,9876
20-03-23,Montreal West,Consumer Electronics,PixelSource Ltd.,Ville-Marie Hub,Canceled,1072,2368,16856.65,TRUE,13,FALSE,139255.79,2907.4,11785
21-03-23,Montreal East,Home Appliances,Montelix Supply Co.,Verdun Storage Facility,Fulfilled,344,3148,5452.87,TRUE,4,FALSE,34489.87,3424.2,11530
22-03-23,Montreal West,Computer Peripherals,Nova Distribution,Verdun Storage Facility,Pending,611,3471,1263.51,TRUE,15,FALSE,64643.21,3055.7,9389
23-03-23,Montreal East,Computer Peripherals,ElectraTech Inc.,Verdun Storage Facility,Pending,572,1730,13337.87,TRUE,24,FALSE,22511.07,1593.5,12231
23-03-23,Montreal West,Smart Devices,Montelix Supply Co.,Ville-Marie Hub,Fulfilled,883,1282,18159.19,TRUE,9,FALSE,114752.93,1490.9,6691
24-03-23,Montreal West,Smart Devices,Montelix Supply Co.,Verdun Storage Facility,Canceled,445,1571,11655.72,FALSE,28,FALSE,75399.28,2653.6,12642
25-03-23,Montreal West,Consumer Electronics,PixelSource Ltd.,Laval Distribution Center,Fulfilled,428,2819,3457.21,TRUE,13,FALSE,74687.86,2499.7,11203
26-03-23,Montreal South,Smart Devices,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,70,3409,6579.22,TRUE,13,FALSE,1891.34,3752,9109
27-03-23,Montreal West,Consumer Electronics,Nova Distribution,Ville-Marie Hub,Pending,393,2961,10354.54,TRUE,22,FALSE,25318.65,2727.1,4827
28-03-23,Montreal South,Home Appliances,PixelSource Ltd.,Verdun Storage Facility,Pending,382,1236,14214.16,TRUE,29,FALSE,95997.67,2210.9,5713
28-03-23,Montreal South,Computer Peripherals,ElectraTech Inc.,Ville-Marie Hub,Canceled,617,3133,5167.15,TRUE,15,FALSE,37339.36,2654.4,9182
29-03-23,Montreal North,Computer Peripherals,PixelSource Ltd.,Ville-Marie Hub,Pending,743,2177,10232.9,TRUE,7,FALSE,36182.89,1360.1,6439
30-03-23,Montreal South,Consumer Electronics,ElectraTech Inc.,Ville-Marie Hub,Fulfilled,285,616,2573.89,TRUE,21,FALSE,24517.41,1607,7698
31-03-23,Montreal North,Home Appliances,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,457,2464,15877.08,TRUE,26,FALSE,74875.24,1508.5,8467
01-04-23,Montreal South,Home Appliances,PixelSource Ltd.,Laval Distribution Center,Fulfilled,262,853,3920.03,FALSE,1,FALSE,46341.99,1397.3,7043
02-04-23,Montreal West,Home Appliances,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,58,2382,10291.9,TRUE,22,FALSE,10612.69,2639.6,6546
03-04-23,Montreal North,Computer Peripherals,Nova Distribution,Verdun Storage Facility,Canceled,443,3350,7726.31,FALSE,26,FALSE,23536.84,3510.4,11172
03-04-23,Montreal North,Smart Devices,Montelix Supply Co.,Laval Distribution Center,Fulfilled,187,2492,11524.57,TRUE,29,FALSE,15377.39,2289,6403
04-04-23,Montreal South,Consumer Electronics,ElectraTech Inc.,Laval Distribution Center,Canceled,543,1599,9364.55,TRUE,27,FALSE,23215.58,2907.4,7076
05-04-23,Montreal North,Home Appliances,Nova Distribution,Laval Distribution Center,Fulfilled,786,3252,15354.01,TRUE,8,FALSE,121006.93,4141,7910
06-04-23,Montreal East,Computer Peripherals,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,431,4311,4537.17,TRUE,13,FALSE,66014.58,2880.1,7444
07-04-23,Montreal North,Computer Peripherals,Montelix Supply Co.,Ville-Marie Hub,Fulfilled,243,249,641.1,TRUE,20,FALSE,52786.96,2643.2,8047
08-04-23,Montreal East,Computer Peripherals,PixelSource Ltd.,Verdun Storage Facility,Pending,657,3523,7980.79,FALSE,12,FALSE,32146.92,4560.4,5503
08-04-23,Montreal West,Computer Peripherals,Nova Distribution,Laval Distribution Center,Fulfilled,846,3754,5890.17,TRUE,16,FALSE,119175.53,2119,5929
09-04-23,Montreal East,Consumer Electronics,Montelix Supply Co.,Laval Distribution Center,Pending,73,448,858.62,TRUE,18,FALSE,11367.64,2677.7,7573
10-04-23,Montreal East,Home Appliances,Nova Distribution,Verdun Storage Facility,Fulfilled,367,4565,4981.48,TRUE,12,FALSE,27283.28,2586,10896
11-04-23,Montreal West,Smart Devices,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,456,543,4367.65,TRUE,1,FALSE,28565.73,742.4,7188
12-04-23,Montreal North,Computer Peripherals,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,328,1014,7451.81,TRUE,23,FALSE,35496.39,932.4,11026
13-04-23,Montreal South,Smart Devices,ElectraTech Inc.,Laval Distribution Center,Canceled,710,948,6468.57,TRUE,6,FALSE,74597.3,1493,10207
13-04-23,Montreal North,Computer Peripherals,Nova Distribution,Laval Distribution Center,Fulfilled,52,1784,13268.49,TRUE,19,FALSE,10744.26,2263.3,10028
14-04-23,Montreal West,Consumer Electronics,PixelSource Ltd.,Laval Distribution Center,Fulfilled,598,1887,10873.13,FALSE,16,FALSE,63785.7,3443,9926
15-04-23,Montreal North,Smart Devices,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,271,3733,5169.3,TRUE,15,FALSE,17970.02,3400.6,6959
16-04-23,Montreal West,Consumer Electronics,Montelix Supply Co.,Ville-Marie Hub,Pending,439,1760,12166.02,TRUE,27,TRUE,21075.55,1187.5,8561
17-04-23,Montreal West,Computer Peripherals,Nova Distribution,Laval Distribution Center,Fulfilled,63,469,13581.58,TRUE,7,FALSE,2454.16,1421.2,8515
18-04-23,Montreal East,Home Appliances,Nova Distribution,Laval Distribution Center,Pending,823,2764,13253.73,TRUE,21,FALSE,115842.48,2597.6,5802
18-04-23,Montreal South,Consumer Electronics,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,182,2429,8879.07,FALSE,21,FALSE,26997.14,2345.1,6790
19-04-23,Montreal East,Computer Peripherals,ElectraTech Inc.,Laval Distribution Center,Pending,538,2393,6346.55,TRUE,27,FALSE,135312.68,2795.2,9720
20-04-23,Montreal North,Home Appliances,Nova Distribution,Ville-Marie Hub,Fulfilled,571,2490,8062.36,TRUE,14,FALSE,52266.22,2003,7445
21-04-23,Montreal North,Smart Devices,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,604,261,16210.09,TRUE,23,FALSE,58191,2715,10202
22-04-23,Montreal North,Computer Peripherals,PixelSource Ltd.,Laval Distribution Center,Fulfilled,674,4190,9855.47,TRUE,22,FALSE,115746,3636.6,12664
23-04-23,Montreal North,Smart Devices,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,1082,3499,12239.63,TRUE,17,FALSE,144575.65,4941.7,6888
23-04-23,Montreal South,Computer Peripherals,Nova Distribution,Verdun Storage Facility,Fulfilled,194,4486,1681.65,TRUE,8,TRUE,4928.92,3344.9,7308
24-04-23,Montreal North,Consumer Electronics,ElectraTech Inc.,Ville-Marie Hub,Pending,342,1290,8088.2,TRUE,13,TRUE,29565.54,2560.8,8288
25-04-23,Montreal West,Computer Peripherals,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,194,3015,12926.17,TRUE,23,FALSE,22536.15,2423.9,6546
26-04-23,Montreal South,Computer Peripherals,Montelix Supply Co.,Ville-Marie Hub,Fulfilled,502,1024,18028.47,TRUE,29,FALSE,32356.52,3483.1,5221
27-04-23,Montreal North,Home Appliances,Nova Distribution,Verdun Storage Facility,Fulfilled,1142,5044,3611.26,TRUE,8,FALSE,130134.39,2964.2,9436
28-04-23,Montreal North,Smart Devices,Nova Distribution,Laval Distribution Center,Fulfilled,133,1539,6035.62,TRUE,16,FALSE,17326.35,3205.8,11656
28-04-23,Montreal South,Consumer Electronics,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,174,5076,2309.56,FALSE,1,FALSE,21050.98,2675.7,6750
29-04-23,Montreal South,Consumer Electronics,PixelSource Ltd.,Ville-Marie Hub,Pending,419,629,3906.41,TRUE,24,FALSE,42706.14,509.5,8438
30-04-23,Montreal North,Home Appliances,Montelix Supply Co.,Laval Distribution Center,Fulfilled,559,397,13763.22,TRUE,3,FALSE,83642.63,1603,7446
01-05-23,Montreal North,Consumer Electronics,ElectraTech Inc.,Laval Distribution Center,Fulfilled,340,3520,7326.05,TRUE,26,FALSE,70986.12,3824.3,10404
02-05-23,Montreal West,Smart Devices,Montelix Supply Co.,Laval Distribution Center,Fulfilled,720,4736,2009.36,TRUE,25,FALSE,118439.86,2691.5,6579
03-05-23,Montreal West,Smart Devices,Montelix Supply Co.,Ville-Marie Hub,Fulfilled,498,1301,13860.52,TRUE,15,FALSE,35617.07,2032.1,5775
03-05-23,Montreal South,Smart Devices,ElectraTech Inc.,Laval Distribution Center,Fulfilled,553,2748,10372.65,TRUE,24,TRUE,82838.21,1385.6,9712
04-05-23,Montreal North,Computer Peripherals,Nova Distribution,Ville-Marie Hub,Fulfilled,98,444,17422.16,FALSE,24,FALSE,13214.13,2532.5,8747
05-05-23,Montreal South,Smart Devices,ElectraTech Inc.,Verdun Storage Facility,Canceled,93,3111,13078.39,TRUE,9,FALSE,7370.21,2937.9,9847
06-05-23,Montreal West,Smart Devices,PixelSource Ltd.,Laval Distribution Center,Fulfilled,400,771,14805.9,TRUE,13,TRUE,36098.22,1975.6,6994
07-05-23,Montreal East,Home Appliances,Nova Distribution,Laval Distribution Center,Fulfilled,707,3869,7843.58,TRUE,23,FALSE,86866.22,1963.2,9985
08-05-23,Montreal South,Computer Peripherals,ElectraTech Inc.,Ville-Marie Hub,Fulfilled,357,653,9214.96,TRUE,19,FALSE,29846.32,1796.7,5811
08-05-23,Montreal South,Home Appliances,ElectraTech Inc.,Laval Distribution Center,Fulfilled,440,2377,13692.71,TRUE,17,FALSE,43458.33,2878.2,7513
09-05-23,Montreal West,Home Appliances,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,879,2356,10707.3,TRUE,24,FALSE,85495.19,2265.1,10130
10-05-23,Montreal West,Computer Peripherals,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,141,889,3340.8,TRUE,15,FALSE,8711.69,1573.3,5259
11-05-23,Montreal South,Computer Peripherals,ElectraTech Inc.,Verdun Storage Facility,Pending,883,1933,11508.37,TRUE,7,FALSE,202148.97,1774.1,9544
12-05-23,Montreal South,Computer Peripherals,Nova Distribution,Laval Distribution Center,Fulfilled,682,390,9961.63,TRUE,18,FALSE,113329.4,2452.6,10749
13-05-23,Montreal East,Computer Peripherals,PixelSource Ltd.,Laval Distribution Center,Pending,1125,3744,14245.23,TRUE,16,FALSE,67700.45,5256,10893
14-05-23,Montreal North,Consumer Electronics,Nova Distribution,Ville-Marie Hub,Canceled,852,4085,2293.51,TRUE,1,FALSE,150543.67,4288.2,7742
14-05-23,Montreal West,Computer Peripherals,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,288,3261,1218.36,TRUE,14,FALSE,7216.34,3376.6,6883
15-05-23,Montreal East,Home Appliances,Nova Distribution,Ville-Marie Hub,Fulfilled,318,3574,16292.81,TRUE,16,FALSE,74835.96,2497.6,7088
16-05-23,Montreal West,Consumer Electronics,PixelSource Ltd.,Ville-Marie Hub,Fulfilled,558,1314,3652.42,TRUE,8,FALSE,59288.8,3372.9,5025
17-05-23,Montreal East,Consumer Electronics,Nova Distribution,Ville-Marie Hub,Fulfilled,552,3627,13758.67,TRUE,14,FALSE,131701.36,5740.1,9230
18-05-23,Montreal North,Computer Peripherals,ElectraTech Inc.,Verdun Storage Facility,Pending,109,4853,5770.37,TRUE,14,FALSE,6018.03,3939.8,8196
19-05-23,Montreal South,Smart Devices,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,531,1078,4535.7,TRUE,1,FALSE,111382.44,2926.7,7679
19-05-23,Montreal West,Computer Peripherals,ElectraTech Inc.,Ville-Marie Hub,Fulfilled,213,3650,11006.88,TRUE,14,FALSE,12443.04,2413.8,4796
20-05-23,Montreal South,Smart Devices,ElectraTech Inc.,Ville-Marie Hub,Canceled,916,613,4264.4,TRUE,12,TRUE,98453.52,3181.3,5899
